Τμήμα	Έτος	Κωδικός ΚΕΝ	Ασφαλιστικός Φορέας	Πλήθος Νοσηλειών	Συνολικό Βασικό Κόστος ΚΕΝ	Πρόσθετη Χρέωση (Υπέρβαση ΜΔΝ)	Έσοδα Χειρουργείων	Έσοδα Εργαστηριακών	Συνολικά Έσοδα
ΑΙΜΑΤΟΛΟΓΙΑ	2023	Α31Μ	ΕΟΠΥΥ	1	1798.00	399.56	0.00	0.00	2197.56
ΑΙΜΑΤΟΛΟΓΙΑ	2023	Α33Μα	Ιδιωτική Ασφάλεια	1	2023.00	0.00	2598.78	0.00	4621.78
ΑΙΜΑΤΟΛΟΓΙΑ	2023	Α33Χ	Ανασφάλιστος	1	607.00	606.99	0.00	0.00	1213.99
ΑΙΜΑΤΟΛΟΓΙΑ	2023	Β24Α	ΕΟΠΥΥ	1	296.00	296.00	0.00	253.92	845.92
ΑΙΜΑΤΟΛΟΓΙΑ	2023	Δ08Μ	ΕΦΚΑ	1	2294.00	834.20	0.00	169.41	3297.61
ΑΙΜΑΤΟΛΟΓΙΑ	2023	Δ20Α	ΕΦΚΑ	1	171.00	342.00	0.00	0.00	513.00
ΑΙΜΑΤΟΛΟΓΙΑ	2023	Ζ01Α	Ιδιωτική Ασφάλεια	1	36068.00	949.16	0.00	0.00	37017.16
ΑΙΜΑΤΟΛΟΓΙΑ	2023	Θ03Α	Ιδιωτική Ασφάλεια	1	3297.00	2747.50	1319.06	0.00	7363.56
ΑΙΜΑΤΟΛΟΓΙΑ	2023	Ι20Α	ΕΦΚΑ	1	366.00	732.00	0.00	0.00	1098.00
ΑΙΜΑΤΟΛΟΓΙΑ	2023	Κ32Χ	ΕΦΚΑ	1	1089.00	363.00	0.00	156.79	1608.79
ΑΙΜΑΤΟΛΟΓΙΑ	2023	Λ04Μ	Ιδιωτική Ασφάλεια	1	1807.00	1084.20	0.00	0.00	2891.20
ΑΙΜΑΤΟΛΟΓΙΑ	2023	Μ06Α	ΕΦΚΑ	1	1998.00	1110.00	2609.60	0.00	5717.60
ΑΙΜΑΤΟΛΟΓΙΑ	2023	Μ79Μ	Ιδιωτική Ασφάλεια	1	2942.00	0.00	0.00	397.65	3339.65
ΑΙΜΑΤΟΛΟΓΙΑ	2023	Π50Χ	ΕΦΚΑ	1	374.00	561.00	0.00	0.00	935.00
ΑΙΜΑΤΟΛΟΓΙΑ	2023	Σ21Α	Ιδιωτική Ασφάλεια	1	294.00	0.00	1472.86	0.00	1766.86
ΑΙΜΑΤΟΛΟΓΙΑ	2023	Ω30Χ	Ανασφάλιστος	1	545.00	0.00	2160.54	357.06	3062.60
ΑΙΜΑΤΟΛΟΓΙΑ	2022	Ε05Α	ΕΦΚΑ	1	34279.00	1713.96	0.00	0.00	35992.96
ΑΙΜΑΤΟΛΟΓΙΑ	2022	Η05Χ	ΕΟΠΥΥ	1	1393.00	1393.00	0.00	82.12	2868.12
ΑΙΜΑΤΟΛΟΓΙΑ	2022	Θ03Α	ΕΦΚΑ	1	3297.00	2198.00	3847.85	0.00	9342.85
ΑΙΜΑΤΟΛΟΓΙΑ	2022	Θ04Χ	Ιδιωτική Ασφάλεια	1	2848.00	1424.00	0.00	0.00	4272.00
ΑΙΜΑΤΟΛΟΓΙΑ	2022	Θ09Μ	Ιδιωτική Ασφάλεια	1	4895.00	0.00	0.00	0.00	4895.00
ΑΙΜΑΤΟΛΟΓΙΑ	2022	Κ13Χ	ΕΟΠΥΥ	1	166.00	47.42	0.00	0.00	213.42
ΑΙΜΑΤΟΛΟΓΙΑ	2022	Μ05Μ	ΕΦΚΑ	1	7705.00	1400.90	0.00	549.56	9655.46
ΑΙΜΑΤΟΛΟΓΙΑ	2022	Μ78Χ	ΕΦΚΑ	1	475.00	1187.50	0.00	0.00	1662.50
ΑΙΜΑΤΟΛΟΓΙΑ	2022	Ν29Χ	Ιδιωτική Ασφάλεια	1	545.00	181.67	0.00	0.00	726.67
ΑΙΜΑΤΟΛΟΓΙΑ	2022	Ο02Α	ΕΟΠΥΥ	1	1611.00	1074.00	0.00	0.00	2685.00
ΑΙΜΑΤΟΛΟΓΙΑ	2022	Ρ23Α	ΕΟΠΥΥ	1	428.00	856.00	0.00	0.00	1284.00
ΑΙΜΑΤΟΛΟΓΙΑ	2022	Υ04Χβ	Ιδιωτική Ασφάλεια	1	1605.00	0.00	0.00	0.00	1605.00
ΑΙΜΑΤΟΛΟΓΙΑ	2022	Υ06Χ	ΕΟΠΥΥ	1	808.00	1212.00	0.00	0.00	2020.00
ΑΙΜΑΤΟΛΟΓΙΑ	2022	Ω33Α	Ιδιωτική Ασφάλεια	1	397.00	0.00	0.00	0.00	397.00
